sigma,label
25.094,0
27.609,0
33.101,0
29.623,0
27.182,0
33.331,0
36.154,0
35.217,0
33.105,0
17.213,0
27.904,0
34.852,0
29.54,0
31.217,0
33.324,0
28.605,0
34.343,0
35.761,0
29.463,0
28.843,0
32.153,0
34.622,0
32.195,0
28.705,0
26.908,0
31.322,0
29.481,0
29.786,0
34.544,0
28.533,0
30.467,0
35.721,0
26.877,0
35.041,0
22.033,0
34.928,0
27.785,0
34.82,0
26.784,0
33.45,0
32.448,0
26.035,0
33.296,0
31.707,0
35.396,0
36.245,0
31.842,0
36.01,0
31.596,0
31.297,0
33.31,0
25.476,0
34.781,0
36.96,0
29.879,0
29.308,0
23.152,0
36.543,0
34.042,0
34.562,0
36.677,0
30.751,0
33.501,0
31.548,0
35.417,0
35.276,0
31.354,0
31.215,0
33.117,0
28.414,0
31.151,0
34.103,0
36.927,0
36.585,0
28.93,0
32.859,0
27.677,0
30.98,0
35.748,0
24.671,0
24.792,0
34.522,0
33.32,0
35.638,0
24.776,0
26.609,0
32.49,0
31.315,0
29.05,0
32.496,0
24.239,0
33.419,0
33.023,0
35.366,0
35.377,0
31.815,0
25.721,0
32.828,0
29.382,0
29.088,0
34.166,0
36.27,0
32.605,0
32.484,0
30.123,0
35.503,0
31.051,0
32.571,0
23.602,0
26.133,0
32.7,0
31.606,0
32.392,0
36.08,0
32.79,0
33.374,0
35.773,0
27.366,0
29.935,0
35.044,0
32.365,0
28.582,0
28.863,0
36.923,0
35.156,0
34.532,0
21.309,0
35.351,0
27.454,0
31.34,0
33.567,0
32.376,0
36.665,0
36.707,0
34.247,0
35.024,0
33.27,0
36.411,0
36.738,0
33.368,0
29.671,0
36.194,0
35.758,0
27.191,0
29.277,0
32.807,0
35.793,0
26.529,0
28.87,0
34.964,0
34.339,0
35.987,0
30.704,0
34.337,0
32.532,0
34.854,0
34.243,0
28.469,0
34.654,0
27.392,0
32.025,0
34.152,0
27.797,0
31.016,0
28.301,0
35.93,0
22.511,0
27.436,0
34.668,0
35.233,0
33.722,0
29.882,0
33.561,0
27.479,0
25.365,0
35.614,0
29.157,0
33.91,0
30.728,0
35.517,0
31.391,0
36.619,0
36.961,0
36.763,0
30.049,0
36.866,0
31.694,0
33.165,0
26.576,0
32.651,0
24.953,0
29.752,0
30.883,0
36.98,0
36.956,0
31.35,0
32.441,0
35.77,0
36.518,0
29.993,0
30.199,0
34.546,0
22.038,0
34.604,0
20.388,0
31.023,0
30.646,0
33.046,0
35.964,0
35.018,0
28.967,0
29.703,0
30.42,0
19.835,0
34.302,0
35.898,0
36.64,0
34.483,0
33.584,0
34.155,0
30.599,0
22.427,0
28.625,0
36.643,0
36.185,0
29.338,0
17.279,0
36.041,0
36.701,0
33.861,0
30.292,0
36.63,0
34.578,0
22.445,0
30.387,0
17.403,0
36.196,0
33.765,0
36.371,0
32.172,0
31.769,0
26.228,0
29.838,0
25.011,0
27.463,0
30.851,0
32.993,0
32.13,0
27.014,0
27.747,0
33.162,0
35.198,0
36.928,0
36.554,0
22.807,0
36.641,0
34.947,0
33.798,0
30.939,0
30.722,0
28.326,0
30.042,0
35.727,0
23.592,0
29.318,0
31.948,0
36.809,0
31.508,0
34.143,0
33.161,0
36.652,0
32.387,0
35.183,0
34.77,0
33.972,0
36.69,0
34.465,0
28.003,0
36.118,0
32.111,0
35.034,0
26.706,0
24.179,0
29.807,0
34.532,0
36.321,0
21.691,0
35.127,0
31.776,0
35.808,0
27.299,0
30.588,0
31.689,0
36.509,0
30.93,0
15.806,0
34.653,0
34.115,0
30.189,0
20.201,0
34.016,0
30.315,0
33.864,0
28.279,0
24.227,0
30.724,0
36.94,0
30.573,0
28.994,0
33.093,0
36.378,0
35.098,0
28.694,0
36.661,0
35.599,0
31.293,0
35.843,0
30.469,0
27.142,0
22.581,0
36.046,0
25.123,0
29.598,0
36.071,0
35.885,0
33.598,0
36.479,0
31.305,0
36.61,0
